Protein systematic name	Number of unique peptides	Total MS/MS counts	Average ln(H/(H+L))	Standard deviation ln(H/H+L)	Number of unique peptides	Total MS/MS counts	Average ln(H/(H+L))	Standard deviation ln(H/H+L)	Number of unique peptides	Total MS/MS counts	Average ln(H/(H+L))	Standard deviation ln(H/H+L)	Number of unique peptides	Total MS/MS counts	Average ln(H/(H+L))	Standard deviation ln(H/H+L)	Number of unique peptides	Total MS/MS counts	Average ln(H/(H+L))	Standard deviation ln(H/H+L)
YNL225C	1	1	-0.09798	0	1	1	-0.61342	0	0	0	0	0	0	0	0	0	0	0	0	0
YOR136W	2	2	-0.21912	0.04232	2	3	-0.65066	0.09028	1	1	-1.02532	0	1	1	-1.77297	0	1	1	-1.86901	0
YHR174W	11	25	-0.29815	0.02896	10	34	-0.65076	0.02936	10	27	-1.09428	0.04873	17	52	-1.59037	0.07313	11	31	-1.72945	0.23529
YOR167C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-0.18345	0
YER107C	5	11	-0.23487	0.02355	6	15	-0.51938	0.03032	5	15	-0.77114	0.03053	5	13	-1.07392	0.0575	6	20	-1.19343	0.09683
YJL052W	1	1	-0.4099	0	1	2	-0.64434	0	0	0	0	0	2	2	-2.08714	0.28666	6	6	-1.84669	0.62161
YJR042W	22	51	-0.16751	0.02581	18	49	-0.19724	0.01752	17	45	-0.22147	0.01768	16	37	-0.26968	0.02735	13	27	-0.3087	0.02174
YKR095W	27	33	-0.29332	0.17899	22	27	-0.44097	0.08473	13	15	-0.57157	0.09683	20	31	-0.65565	0.07698	23	31	-0.72826	0.10882
YKL042W	3	4	-0.33746	0.02099	2	3	-0.73116	0.02514	0	0	0	0	1	1	-1.02134	0	0	0	0	0
YDR064W	5	14	-0.38685	0.02425	5	19	-0.74787	0.03636	3	12	-1.20263	0.0595	5	13	-1.4965	0.07084	3	8	-1.63076	0.04197
YGL206C	2	2	-0.4085	0.15688	1	1	-0.69834	0	0	0	0	0	3	3	-1.24854	0.46273	2	2	-1.00814	0.21342
YMR143W	2	4	-0.39571	0.02667	5	6	-0.75595	0.03419	3	5	-1.21074	0.05797	3	4	-1.52023	0.05861	5	8	-1.60197	0.05395
YAL012W	0	0	0	0	2	2	-0.67809	0.00862	2	2	-1.10766	0.1035	3	3	-1.52905	0.12226	1	1	-1.7534	0
YIL033C	0	0	0	0	0	0	0	0	1	1	-1.14653	0	0	0	0	0	0	0	0	0
YLR029C	2	3	-0.4379	0.00016	3	5	-0.84861	0.01479	3	5	-1.2673	0.02187	2	4	-1.48128	0.02866	3	5	-1.67298	0.0751
YKL057C	20	38	-0.1585	0.02038	18	32	-0.19147	0.04358	14	24	-0.20666	0.02151	12	27	-0.2557	0.01689	17	35	-0.2877	0.04077
YNL064C	3	5	-0.59563	0.28051	3	5	-0.90663	0.11077	3	5	-1.19689	0.61928	4	5	-1.44414	0.75357	4	4	-1.20462	0.49175
YGL100W	8	10	-0.09846	0.12531	8	11	-0.07418	0.00338	7	10	-0.09767	0.01263	9	13	-0.1538	0.01567	11	15	-0.19533	0.01796
YPL079W	1	1	-0.39107	0	2	3	-1.13805	0.49623	1	1	-0.81767	0	0	0	0	0	0	0	0	0
YPR036W	1	1	-0.60576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR221C	3	3	-0.49104	0.12081	2	6	-0.77524	0.02863	1	2	-1.24588	0	2	2	-1.63487	0.01133	2	3	-1.69228	0.10935
YOR204W	4	7	-0.49799	0.03339	4	8	-0.8369	0.04703	4	5	-1.26695	0.15432	3	5	-1.50338	0.06858	5	7	-1.70514	0.14378
YBR143C	0	0	0	0	3	3	-1.16744	0.22114	0	0	0	0	2	4	-1.29708	0.26168	0	0	0	0
YBL076C	2	2	-0.4039	0.01272	5	5	-0.78152	0.15274	2	2	-0.76646	0.20308	3	3	-1.71074	0.14796	2	2	-1.74552	0.13226
YFR002W	31	58	-0.29421	0.04762	25	47	-0.34666	0.02682	28	53	-0.36537	0.02662	25	50	-0.39204	0.04234	28	55	-0.39887	0.0312
YDR023W	1	1	-0.46393	0	0	0	0	0	1	1	-1.18855	0	2	2	-1.47528	0.1143	1	1	-1.48173	0
YAR015W	0	0	0	0	0	0	0	0	0	0	0	0	2	2	-1.51752	0.09003	0	0	0	0
YHL033C	1	1	-0.50751	0	1	2	-0.72676	0	1	1	-1.46501	0	2	2	-1.71389	0.16793	1	1	-1.6739	0
YFL045C	4	5	-0.36598	0.02165	4	10	-0.66873	0.02426	3	5	-1.13362	0.01329	4	8	-1.52796	0.05823	4	6	-1.47481	0.56401
YPL143W	4	6	-0.40179	0.0224	3	6	-0.79563	0.01136	3	6	-1.21568	0.09336	3	5	-1.46479	0.04168	4	6	-1.64477	0.02264
YMR229C	0	0	0	0	1	1	-1.10954	0	0	0	0	0	0	0	0	0	1	1	-1.1416	0
YCL028W	1	1	-0.28704	0	2	2	-0.75505	0.04885	2	3	-1.16694	0.03754	2	3	-1.7543	0.1391	3	5	-1.59576	0.2484
YDR356W	2	2	-0.3915	7e-05	4	4	-0.64229	0.29693	0	0	0	0	0	0	0	0	0	0	0	0
YOR128C	1	1	-0.63345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YGR254W	4	7	-0.24408	0.02118	5	10	-0.50861	0.02048	4	11	-0.97902	0.04909	7	13	-1.82441	0.06297	6	11	-2.14365	0.04517
YGL256W	0	0	0	0	0	0	0	0	0	0	0	0	3	3	-1.92744	0.23114	2	2	-2.0381	0.29033
YDL075W	1	1	-0.44981	0	3	4	-0.76948	0.10408	1	1	-1.05981	0	0	0	0	0	1	2	-1.59119	0
YPL125W	1	1	-0.38008	0	1	1	-0.64113	0	2	2	-1.21729	0.15373	1	1	-1.21999	0	2	2	-1.97727	0.03122
YGL234W	6	6	-0.29233	0.06042	5	7	-0.55684	0.03848	3	4	-0.79375	0.03929	6	7	-1.45813	0.14541	6	7	-1.99065	0.26312
YDR172W	0	0	0	0	1	1	-0.77557	0	0	0	0	0	1	2	-0.7678	0	0	0	0	0
YDR427W	0	0	0	0	1	1	-0.52351	0	0	0	0	0	1	1	-1.39494	0	0	0	0	0
YAL038W	14	29	-0.30864	0.02434	15	32	-0.68194	0.04424	15	33	-1.12968	0.08133	17	35	-1.5214	0.06277	18	34	-1.73449	0.11472
YIL133C	2	2	-0.4715	0.01432	2	2	-0.80692	0.04995	3	4	-1.21695	0.06199	1	1	-1.40138	0	5	5	-1.62366	0.5131
YIL018W	3	3	-0.46979	0.02632	3	6	-0.82992	0.03209	1	1	-1.13073	0	6	9	-1.55025	0.07206	3	4	-1.63648	0.0935
YCR028C-A	1	1	-0.36744	0	1	1	-0.78403	0	0	0	0	0	0	0	0	0	0	0	0	0
YNL096C	6	8	-0.42774	0.09304	6	10	-0.80186	0.03245	5	9	-1.134	0.04653	7	9	-1.35528	0.19322	7	10	-1.47043	0.22269
YLR109W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	-1.51996	0.32256
YFL005W	0	0	0	0	0	0	0	0	2	2	-0.59987	0.20746	0	0	0	0	1	1	-0.55327	0
YGR192C	19	41	-0.24609	0.05189	18	60	-0.62629	0.04291	15	55	-1.08285	0.05665	19	58	-1.50437	0.13935	17	45	-1.721	0.0972
YJL026W	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1.49735	0	0	0	0	0
YJR016C	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1.93471	0	0	0	0	0
YKL054C	0	0	0	0	2	3	-0.8492	0.13611	1	2	-1.12463	0	3	3	-1.27862	0.26912	0	0	0	0
YPL220W	0	0	0	0	2	3	-0.77859	0.13673	1	1	-0.98183	0	2	2	-1.32946	0.10944	0	0	0	0
YFL037W	0	0	0	0	0	0	0	0	1	1	-1.40372	0	0	0	0	0	0	0	0	0
YLR335W	35	82	-0.37507	0.05	36	91	-0.75101	0.04671	30	72	-1.1761	0.04492	29	61	-1.55728	0.08408	26	42	-1.74946	0.24364
YLL026W	1	1	-1.06736	0	1	1	-1.40148	0	0	0	0	0	5	6	-1.65812	0.24704	2	2	-1.34426	0.27238
YNL161W	4	5	-0.36673	0.03443	3	4	-0.77656	0.06721	2	3	-1.25758	0.05532	1	1	-1.61123	0	0	0	0	0
YKL205W	1	2	-0.41108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YER055C	0	0	0	0	1	1	-0.56179	0	1	1	-1.26115	0	1	1	-1.51044	0	1	1	-1.84408	0
YHL015W	6	11	-0.39824	0.01877	6	8	-0.74276	0.04707	7	9	-1.19124	0.03351	7	12	-1.51382	0.08806	7	14	-1.59281	0.12161
YMR219W	1	1	-0.26366	0	2	3	-0.52223	0.02878	2	2	-0.94652	0.03735	4	4	-1.15458	0.09009	2	2	-1.45574	0.08085
YOR007C	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1.44222	0	0	0	0	0
YHR027C	2	2	-0.13254	0.00088	2	2	-0.3875	0.0129	2	2	-0.68252	0.03585	2	2	-1.10439	0.01015	2	2	-1.16948	0.12388
YML085C	0	0	0	0	2	3	-0.66526	0.05012	1	1	-1.08433	0	1	1	-1.4877	0	1	1	-1.40021	0
YMR108W	2	2	-0.35289	0.06056	3	5	-0.78565	0.13476	3	4	-1.24453	0.24253	5	7	-1.4446	0.1089	3	3	-1.7117	0.06362
YKR059W	3	3	-0.41682	0.0473	5	7	-0.77145	0.02772	3	3	-1.20473	0.03642	4	7	-1.44702	0.18416	3	4	-1.5911	0.08867
YOR270C	6	9	-0.25439	0.02344	10	16	-0.59498	0.04912	10	18	-0.99594	0.04841	11	21	-1.35785	0.0955	10	17	-1.62549	0.1274
YKL152C	5	7	-0.26089	0.02462	4	8	-0.65809	0.01669	8	14	-1.10296	0.03019	11	20	-1.4646	0.38455	8	11	-1.7635	0.05181
YMR314W	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1.04571	0	0	0	0	0
YOL127W	2	4	-0.4311	0.02907	3	8	-0.78518	0.03234	4	7	-1.16042	0.03187	4	7	-1.41527	0.11474	4	7	-1.59903	0.13133
YPL249C-A	1	1	-0.45946	0	1	1	-0.77248	0	1	1	-1.23552	0	1	1	-1.47231	0	1	1	-1.59469	0
YLR180W	5	7	-0.32717	0.02015	7	12	-0.6757	0.07647	4	8	-1.02662	0.11745	5	7	-1.44536	0.11446	5	6	-1.60088	0.16767
YKL156W	1	1	-0.41283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YNL071W	2	4	-0.25678	0.02387	4	5	-0.67287	0.12182	2	3	-1.01361	0.03997	2	3	-1.57742	0.2707	1	1	-1.8991	0
YGR148C	1	1	-0.35618	0	1	2	-0.84513	0	0	0	0	0	1	1	-1.5098	0	1	1	-1.82567	0
YJL167W	1	1	-0.60697	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1.71915	0
YDL116W	23	37	-0.06192	0.0647	22	42	-0.05405	0.02459	19	34	-0.0752	0.01269	19	36	-0.13188	0.03962	15	30	-0.15272	0.01307
YLR325C	1	1	-0.49372	0	2	3	-0.87656	0.04907	1	2	-1.11469	0	0	0	0	0	2	2	-1.57964	0.16131
YNL178W	7	11	-0.39606	0.02374	8	22	-0.77711	0.01229	8	17	-1.17879	0.06038	8	15	-1.43595	0.07297	8	14	-1.43275	0.44985
YGR034W	6	9	-0.39072	0.01377	5	10	-0.80816	0.04855	3	6	-1.19903	0.0735	5	11	-1.43717	0.05974	4	7	-1.41828	0.35105
YDR037W	0	0	0	0	1	1	-0.53317	0	1	1	-0.85854	0	0	0	0	0	0	0	0	0
YDR395W	9	11	-0.3871	0.01559	7	9	-0.71892	0.0415	6	8	-1.08185	0.07453	4	4	-1.48744	0.16525	4	4	-1.47996	0.26608
YBR106W	0	0	0	0	1	1	-0.68952	0	0	0	0	0	0	0	0	0	1	1	-1.79544	0
YLR153C	0	0	0	0	1	1	-0.87589	0	0	0	0	0	1	1	-1.30337	0	0	0	0	0
YLR018C	6	8	-0.21965	0.02617	3	6	-0.2927	0.01545	4	8	-0.3261	0.04929	6	7	-0.37919	0.00798	5	6	-0.38326	0.03264
YHR020W	0	0	0	0	2	2	-0.80916	0.03864	0	0	0	0	1	1	-1.2474	0	0	0	0	0
YEL071W	1	1	-0.39671	0	1	1	-0.75802	0	0	0	0	0	0	0	0	0	0	0	0	0
YDL160C	1	1	-0.15606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YHR064C	2	3	-0.54259	0.09918	2	3	-0.93	0.15664	0	0	0	0	1	2	-1.39679	0	1	1	-1.63196	0
YPR043W	1	2	-0.48134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL003W	0	0	0	0	1	1	-0.81289	0	1	1	-1.1567	0	1	1	-1.29192	0	1	1	-1.55436	0
YHR019C	0	0	0	0	0	0	0	0	0	0	0	0	1	2	-1.69221	0	1	1	-1.62498	0
YGR234W	3	3	-0.55889	0.02795	4	7	-0.89086	0.06202	3	3	-1.33052	0.13926	3	5	-1.6689	0.04958	0	0	0	0
YLL024C	19	29	-0.24583	0.07841	19	47	-0.67731	0.07973	16	31	-1.16114	0.08123	20	46	-1.51369	0.15936	19	33	-1.60449	0.18247
YDR158W	1	1	-0.31169	0	1	1	-0.73187	0	1	1	-1.05807	0	1	1	-1.62517	0	1	1	-1.69856	0
YLR340W	4	7	-0.40815	0.02864	4	7	-0.7797	0.03268	4	7	-1.12967	0.04373	3	8	-1.48131	0.02079	4	7	-1.40168	0.19149
YML073C	2	2	-0.36498	0.02708	2	2	-0.8346	0.023	1	1	-1.10664	0	2	2	-1.30612	0.06262	2	2	-1.58652	0.35793
YGL122C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	-1.37445	0
YER105C	37	64	-0.28974	0.05007	35	57	-0.35493	0.0401	24	45	-0.37603	0.05019	26	45	-0.43447	0.0586	28	50	-0.42883	0.04574
YAR002W	28	64	-0.39899	0.03782	28	76	-0.77888	0.05769	25	55	-1.20013	0.10546	25	51	-1.59626	0.12542	17	30	-1.84588	0.14561
YGL105W	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1.65174	0	0	0	0	0
YGL037C	0	0	0	0	0	0	0	0	0	0	0	0	2	2	-1.35218	0.10859	1	1	-1.57405	0
YOL139C	3	3	-0.37968	0.01199	4	6	-0.74916	0.03077	4	4	-1.13389	0.09136	4	5	-1.37526	0.04896	4	4	-1.64971	0.17543
YPR183W	1	2	-0.32818	0	1	1	-0.68102	0	3	3	-1.14465	0.03408	3	4	-1.5803	0.12983	2	2	-1.97823	0.12205
YBR025C	1	1	-0.28975	0	0	0	0	0	0	0	0	0	2	2	-1.46968	0.18239	1	1	-1.74123	0
YLR208W	17	27	-0.22932	0.05041	14	20	-0.24864	0.04349	13	15	-0.26869	0.04427	11	14	-0.3705	0.1523	14	24	-0.33503	0.02367
YER070W	0	0	0	0	0	0	0	0	1	1	-1.07792	0	1	1	-1.15667	0	1	1	-0.94799	0
YPL020C	5	5	-0.49121	0.18557	5	8	-0.93199	0.04467	3	4	-1.40641	0.06959	5	5	-1.86956	0.42336	4	4	-1.92696	0.47135
YGL008C	9	16	-0.38203	0.02326	12	24	-0.76264	0.03841	8	15	-1.21049	0.01899	10	16	-1.48984	0.05006	10	16	-1.61105	0.08858
YDL055C	1	1	-0.28946	0	3	3	-0.73079	0.08794	2	2	-1.08698	0.00888	2	2	-1.58832	0.14738	1	1	-1.74879	0
YKL060C	6	9	-0.29869	0.051	8	21	-0.67725	0.0329	4	8	-1.084	0.03327	6	12	-1.56194	0.18409	6	12	-1.83419	0.14476
YGR155W	2	2	-0.4571	0.01788	3	4	-0.74393	0.02352	1	2	-1.0825	0	4	5	-1.37836	0.17161	2	2	-1.53066	0.19476
YER120W	1	2	-0.37702	0	4	5	-1.10611	0.6727	1	1	-1.66631	0	1	1	-1.27748	0	0	0	0	0
YGL137W	1	1	-0.5955	0	1	1	-0.79361	0	1	2	-1.10995	0	1	2	-1.62364	0	0	0	0	0
YGR094W	1	1	-0.50401	0	2	3	-0.77522	0.08712	1	1	-1.2842	0	2	2	-1.5186	0.1601	0	0	0	0
YLR448W	2	3	-0.4406	0.06956	3	5	-0.77849	0.04098	3	4	-1.15137	0.06497	4	4	-1.45523	0.11576	4	5	-1.53138	0.10515
YGL148W	1	2	-0.48037	0	0	0	0	0	1	1	-1.23013	0	2	2	-1.51831	0.06235	0	0	0	0
YDR432W	0	0	0	0	0	0	0	0	1	1	-1.07633	0	0	0	0	0	1	1	-1.70105	0
YDL192W	1	1	-0.38107	0	2	3	-0.88897	0.03917	1	2	-1.09521	0	0	0	0	0	2	2	-1.60934	0.19135
YOR257W	1	1	-0.20103	0	2	2	-0.47225	0.06329	0	0	0	0	1	1	-1.13685	0	1	1	-1.36309	0
YLR058C	4	5	-0.2436	0.09298	4	5	-0.39768	0.03021	2	4	-0.74058	0.04339	6	12	-1.49639	0.06971	6	12	-1.84815	0.61399
YKL182W	6	8	-0.34223	0.03372	8	9	-0.69938	0.04375	4	5	-1.2011	0.10666	8	8	-1.4492	0.09891	6	7	-1.5593	0.17805
YER086W	1	1	-0.53598	0	0	0	0	0	0	0	0	0	1	1	-1.34588	0	0	0	0	0
YGR240C	11	12	-0.36125	0.09674	8	18	-0.73362	0.02466	6	9	-1.17188	0.13685	7	14	-1.48393	0.13018	6	7	-1.84903	0.12957
YLL013C	1	1	-0.35794	0	1	1	-0.68131	0	0	0	0	0	0	0	0	0	0	0	0	0
YMR129W	42	83	-0.24101	0.0408	31	66	-0.31052	0.037	28	48	-0.3255	0.04505	31	56	-0.3612	0.07308	36	70	-0.36801	0.05787
YLR342W	1	1	-0.56871	0	1	1	-0.91484	0	1	1	-1.51212	0	0	0	0	0	1	1	-1.72228	0
YOR261C	1	1	-0.23488	0	1	1	-0.44523	0	1	1	-0.78532	0	1	1	-1.05042	0	0	0	0	0
YLR167W	2	4	-0.54493	0.11053	3	5	-0.90325	0.10942	3	5	-1.3277	0.13366	4	7	-1.44501	0.34334	5	6	-1.48817	0.24673
YGL163C	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-0.43984	0	0	0	0	0
YLR027C	0	0	0	0	0	0	0	0	1	1	-0.92474	0	1	1	-1.44244	0	0	0	0	0
YFR004W	2	2	-0.19452	0.06617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR249C	0	0	0	0	2	3	-0.71102	0.03644	1	2	-0.92326	0	1	1	-1.17805	0	0	0	0	0
YKL145W	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1.57399	0	0	0	0	0
YGL147C	6	9	-0.43731	0.0077	5	7	-0.80655	0.01905	6	11	-1.20271	0.02943	7	12	-1.47898	0.06571	8	14	-1.68187	0.09604
YEL034W	2	2	-0.36966	0.00889	2	3	-0.6911	0.01695	2	2	-1.21628	0.20566	2	3	-1.54228	0.01631	2	4	-1.64674	0.11698
YJR045C	5	8	-0.23574	0.03991	8	11	-0.68751	0.03864	7	13	-1.23393	0.06091	9	17	-1.72674	0.0612	7	12	-1.88643	0.14067
